z, Pressure_0, Pressure_1, Pressure_2, Pressure_3, Velocity_0, GasTemperature_0, SolidTemperature_0, CH4_0, CO_0, O2_0, CO2_0, H2_0, H2O_0, AR_0, H(s)_0, O(s)_0, CH4(s)_0, H2O(s)_0, CO2(s)_0, CO(s)_0, OH(s)_0, C(s)_0, HCO(s)_0, CH(s)_0, CH3(s)_0, CH2(s)_0, COOH(s)_0, Ni(s)_0, Velocity_1, GasTemperature_1, SolidTemperature_1, CH4_1, CO_1, O2_1, CO2_1, H2_1, H2O_1, AR_1, H(s)_1, O(s)_1, CH4(s)_1, H2O(s)_1, CO2(s)_1, CO(s)_1, OH(s)_1, C(s)_1, HCO(s)_1, CH(s)_1, CH3(s)_1, CH2(s)_1, COOH(s)_1, Ni(s)_1, Velocity_2, GasTemperature_2, SolidTemperature_2, CH4_2, CO_2, O2_2, CO2_2, H2_2, H2O_2, AR_2, H(s)_2, O(s)_2, CH4(s)_2, H2O(s)_2, CO2(s)_2, CO(s)_2, OH(s)_2, C(s)_2, HCO(s)_2, CH(s)_2, CH3(s)_2, CH2(s)_2, COOH(s)_2, Ni(s)_2, Velocity_3, GasTemperature_3, SolidTemperature_3, CH4_3, CO_3, O2_3, CO2_3, H2_3, H2O_3, AR_3, H(s)_3, O(s)_3, CH4(s)_3, H2O(s)_3, CO2(s)_3, CO(s)_3, OH(s)_3, C(s)_3, HCO(s)_3, CH(s)_3, CH3(s)_3, CH2(s)_3, COOH(s)_3, Ni(s)_3, Annular_Density_ch, Annular_Velocity_ch, Annular_Temperature_ch, 
0.000526316, 1.00023e+06, 1.00023e+06, 1.00022e+06, 1.00018e+06, 0.142061, 1173, 1173, 0.17422, 0.0183143, 4.78226e-17, 0.0285944, 0.190312, 0.58855, 8.86798e-06, 0.256614, 0.00749246, 4.2502e-09, 0.00427893, 2.35956e-05, 0.260369, 0.000236657, 8.38662e-08, 6.42701e-11, 1.47067e-11, 1.22567e-09, 3.79165e-10, 4.90601e-08, 0.470986, 0.142103, 1173, 1173, 0.174219, 0.0182965, 4.76961e-17, 0.0284966, 0.190528, 0.588451, 8.86463e-06, 0.256752, 0.00748246, 4.25003e-09, 0.00427807, 2.3541e-05, 0.260256, 0.000236475, 8.3891e-08, 6.42418e-11, 1.46976e-11, 1.22543e-09, 3.78965e-10, 4.89745e-08, 0.470971, 0.142157, 1173, 1173, 0.174127, 0.0183061, 4.74851e-17, 0.0284119, 0.190898, 0.588248, 8.86247e-06, 0.256913, 0.00746288, 4.24634e-09, 0.00427515, 2.34917e-05, 0.260277, 0.000236085, 8.40972e-08, 6.43161e-11, 1.46702e-11, 1.22403e-09, 3.78313e-10, 4.89194e-08, 0.470812, 0.143074, 1173, 1173, 0.173629, 0.0185704, 4.74279e-17, 0.0288683, 0.190925, 0.587999, 8.88052e-06, 0.256443, 0.00744462, 4.22605e-09, 0.00426512, 2.37716e-05, 0.261662, 0.000235519, 8.51877e-08, 6.51223e-11, 1.45983e-11, 1.218e-09, 3.76439e-10, 4.95046e-08, 0.469926, 0.0206708, 0.01, 1173, 
0.00157895, 1.00022e+06, 1.00022e+06, 1.00021e+06, 1.00017e+06, 0.150821, 1173, 1173, 0.132309, 0.0344094, 1.62121e-17, 0.0423527, 0.282571, 0.508349, 8.37428e-06, 0.269856, 0.00376201, 2.78575e-09, 0.00318966, 2.22901e-05, 0.316542, 0.000144788, 2.32866e-07, 1.26981e-10, 7.97754e-12, 7.64983e-10, 2.09561e-10, 5.64093e-08, 0.406483, 0.150664, 1173, 1173, 0.132442, 0.0344271, 1.63837e-17, 0.0425616, 0.281479, 0.509082, 8.391e-06, 0.269479, 0.0037841, 2.79005e-09, 0.00319598, 2.24324e-05, 0.31667, 0.000145356, 2.31878e-07, 1.26869e-10, 8.00301e-12, 7.66328e-10, 2.10189e-10, 5.66599e-08, 0.406703, 0.150156, 1173, 1173, 0.132865, 0.0344908, 1.69304e-17, 0.0432541, 0.278093, 0.511288, 8.44178e-06, 0.268296, 0.00385311, 2.80357e-09, 0.00321513, 2.28833e-05, 0.317092, 0.000147114, 2.28903e-07, 1.26545e-10, 8.08323e-12, 7.70549e-10, 2.12164e-10, 5.74508e-08, 0.407374, 0.145966, 1173, 1173, 0.134123, 0.0346832, 1.8462e-17, 0.0450056, 0.269244, 0.516935, 8.56706e-06, 0.26512, 0.00404094, 2.84214e-09, 0.00326445, 2.41304e-05, 0.318277, 0.000151808, 2.21371e-07, 1.2574e-10, 8.30875e-12, 7.82597e-10, 2.17711e-10, 5.96115e-08, 0.409122, 0.0206708, 0.0180131, 1173, 
0.00263158, 1.00021e+06, 1.0002e+06, 1.0002e+06, 1.00016e+06, 0.155952, 1173, 1173, 0.108761, 0.0461826, 1.003e-17, 0.0480061, 0.330001, 0.467041, 8.13023e-06, 0.271706, 0.00275753, 2.13354e-09, 0.00273031, 2.19365e-05, 0.343947, 0.000114688, 3.69891e-07, 1.71594e-10, 5.84846e-12, 5.82002e-10, 1.51838e-10, 5.99749e-08, 0.378723, 0.155549, 1173, 1173, 0.108987, 0.0462748, 1.02418e-17, 0.0485677, 0.327606, 0.468557, 8.16765e-06, 0.270961, 0.00278921, 2.1399e-09, 0.00274163, 2.22327e-05, 0.344307, 0.000115584, 3.6708e-07, 1.71465e-10, 5.88e-12, 5.83769e-10, 1.52659e-10, 6.05639e-08, 0.379063, 0.154576, 1173, 1173, 0.109574, 0.0465168, 1.07929e-17, 0.0500208, 0.321629, 0.472252, 8.25961e-06, 0.269077, 0.00286982, 2.15621e-09, 0.00276941, 2.29945e-05, 0.345234, 0.000117835, 3.60241e-07, 1.71163e-10, 5.96135e-12, 5.88316e-10, 1.54768e-10, 6.20659e-08, 0.379909, 0.149687, 1173, 1173, 0.110972, 0.0470279, 1.2025e-17, 0.0528874, 0.30947, 0.479634, 8.43919e-06, 0.265155, 0.00304316, 2.19372e-09, 0.00282556, 2.46489e-05, 0.347167, 0.000122565, 3.46629e-07, 1.70515e-10, 6.14545e-12, 5.98859e-10, 1.59514e-10, 6.52633e-08, 0.381662, 0.0206708, 0.0279303, 1173, 
0.00368421, 1.00019e+06, 1.00019e+06, 1.00019e+06, 1.00015e+06, 0.159149, 1173, 1173, 0.0928909, 0.0554357, 7.59736e-18, 0.0514364, 0.358537, 0.441692, 8.00719e-06, 0.27113, 0.00229798, 1.7445e-09, 0.00247198, 2.19462e-05, 0.361407, 9.96211e-05, 4.88191e-07, 2.05535e-10, 4.78608e-12, 4.76607e-10, 1.21249e-10, 6.25346e-08, 0.362572, 0.158565, 1173, 1173, 0.0931299, 0.0556364, 7.81345e-18, 0.0523156, 0.355178, 0.443732, 8.06114e-06, 0.270129, 0.00233277, 1.75075e-09, 0.00248589, 2.23589e-05, 0.361992, 0.000100654, 4.83626e-07, 2.05518e-10, 4.81401e-12, 4.78203e-10, 1.22026e-10, 6.34118e-08, 0.362937, 0.157217, 1173, 1173, 0.0937108, 0.0561087, 8.33082e-18, 0.0543943, 0.347481, 0.448297, 8.18319e-06, 0.267805, 0.00241456, 1.76575e-09, 0.00251729, 2.3339e-05, 0.363358, 0.000103048, 4.73402e-07, 2.05479e-10, 4.88142e-12, 4.82059e-10, 1.23885e-10, 6.54709e-08, 0.363779, 0.14704, 1173, 1173, 0.0949748, 0.0570102, 9.38003e-18, 0.0581054, 0.333449, 0.456452, 8.39875e-06, 0.263461, 0.0025729, 1.79716e-09, 0.00257396, 2.52667e-05, 0.365921, 0.000107564, 4.55273e-07, 2.05386e-10, 5.02127e-12, 4.90284e-10, 1.27686e-10, 6.94342e-08, 0.365337, 0.0206708, 0.0389825, 1173, 
0.00473684, 1.00018e+06, 1.00018e+06, 1.00018e+06, 1.00014e+06, 0.161178, 1173, 1173, 0.0811004, 0.0630821, 6.36009e-18, 0.0541683, 0.376849, 0.424792, 7.95853e-06, 0.269708, 0.00204023, 1.47782e-09, 0.00230675, 2.21732e-05, 0.37403, 9.06769e-05, 5.89008e-07, 2.32657e-10, 4.14268e-12, 4.05592e-10, 1.01756e-10, 6.47713e-08, 0.351802, 0.160431, 1173, 1173, 0.081308, 0.0634047, 6.57129e-18, 0.055317, 0.372806, 0.427157, 8.02494e-06, 0.268524, 0.00207589, 1.48307e-09, 0.00232189, 2.26761e-05, 0.374811, 9.17658e-05, 5.83007e-07, 2.3282e-10, 4.16435e-12, 4.06808e-10, 1.02415e-10, 6.58842e-08, 0.352152, 0.158834, 1173, 1173, 0.0818277, 0.0640989, 7.06091e-18, 0.057893, 0.363931, 0.432241, 8.16872e-06, 0.265914, 0.00215673, 1.49595e-09, 0.00235488, 2.38169e-05, 0.376502, 9.41976e-05, 5.69892e-07, 2.3308e-10, 4.2167e-12, 4.09854e-10, 1.03983e-10, 6.83705e-08, 0.352955, 0.147718, 1173, 1173, 0.0828877, 0.0653813, 7.9989e-18, 0.062279, 0.34867, 0.440773, 8.41015e-06, 0.261287, 0.00230448, 1.52117e-09, 0.00241062, 2.59551e-05, 0.379545, 9.8516e-05, 5.48253e-07, 2.33597e-10, 4.3206e-12, 4.16002e-10, 1.07001e-10, 7.29317e-08, 0.354328, 0.0206708, 0.0507552, 1173, 
0.00578947, 1.00017e+06, 1.00017e+06, 1.00017e+06, 1.00013e+06, 0.162358, 1173, 1173, 0.0718376, 0.0696239, 5.64982e-18, 0.0566907, 0.388781, 0.413059, 7.95759e-06, 0.267905, 0.00188062, 1.28017e-09, 0.00219357, 2.25586e-05, 0.383864, 8.48956e-05, 6.74457e-07, 2.55064e-10, 3.70766e-12, 3.53466e-10, 8.80199e-11, 6.69301e-08, 0.344048, 0.161509, 1173, 1173, 0.0720132, 0.0700487, 5.85687e-18, 0.0580548, 0.384242, 0.415633, 8.03344e-06, 0.266599, 0.00191657, 1.28456e-09, 0.00220941, 2.31301e-05, 0.384778, 8.6012e-05, 6.67155e-07, 2.55369e-10, 3.7236e-12, 3.54363e-10, 8.8573e-11, 6.82239e-08, 0.344387, 0.159706, 1173, 1173, 0.0724121, 0.0709796, 6.32441e-18, 0.0610631, 0.374549, 0.420988, 8.19431e-06, 0.263771, 0.00199571, 1.2944e-09, 0.0022426, 2.4405e-05, 0.386762, 8.84266e-05, 6.51965e-07, 2.56018e-10, 3.76051e-12, 3.56421e-10, 8.98136e-11, 7.1071e-08, 0.345115, 0.14316, 1173, 1173, 0.0732495, 0.0726063, 7.19288e-18, 0.0660175, 0.358428, 0.42969, 8.45567e-06, 0.258945, 0.00213614, 1.31397e-09, 0.00229701, 2.67185e-05, 0.39016, 9.25878e-05, 6.27483e-07, 2.57083e-10, 3.83518e-12, 3.60781e-10, 9.21899e-11, 7.61171e-08, 0.346342, 0.0206708, 0.0629895, 1173, 
0.00684211, 1.00016e+06, 1.00016e+06, 1.00015e+06, 1.00012e+06, 0.162975, 1173, 1173, 0.0642374, 0.0753711, 5.21698e-18, 0.0591865, 0.396432, 0.404765, 7.99311e-06, 0.265909, 0.00177645, 1.12518e-09, 0.00211281, 2.30682e-05, 0.391922, 8.09777e-05, 7.46734e-07, 2.74058e-10, 3.38855e-12, 3.12805e-10, 7.76352e-11, 6.91106e-08, 0.338175, 0.162038, 1173, 1173, 0.0643561, 0.0759062, 5.42088e-18, 0.0607457, 0.391535, 0.407449, 8.07629e-06, 0.264504, 0.00181225, 1.12829e-09, 0.00212876, 2.37001e-05, 0.392963, 8.20979e-05, 7.38533e-07, 2.74545e-10, 3.3984e-12, 3.13293e-10, 7.80606e-11, 7.0564e-08, 0.338485, 0.160094, 1173, 1173, 0.0646565, 0.0770262, 5.87778e-18, 0.0641129, 0.381229, 0.412968, 8.24986e-06, 0.261528, 0.00189028, 1.13585e-09, 0.00216197, 2.50851e-05, 0.395138, 8.44979e-05, 7.21411e-07, 2.75461e-10, 3.42294e-12, 3.14609e-10, 7.90474e-11, 7.36982e-08, 0.339171, 0.142562, 1173, 1173, 0.0652878, 0.0789466, 6.71033e-18, 0.0695619, 0.36447, 0.421725, 8.52672e-06, 0.256559, 0.00202581, 1.1507e-09, 0.00221506, 2.75514e-05, 0.398787, 8.85421e-05, 6.94493e-07, 2.76954e-10, 3.47406e-12, 3.1751e-10, 8.09088e-11, 7.9147e-08, 0.340296, 0.0206708, 0.0755098, 1173, 
0.00789474, 1.00015e+06, 1.00014e+06, 1.00014e+06, 1.00011e+06, 0.163104, 1173, 1173, 0.0578209, 0.0805546, 4.95378e-18, 0.0617735, 0.40096, 0.398883, 8.05391e-06, 0.263769, 0.00170723, 9.9894e-10, 0.00205364, 2.3694e-05, 0.398812, 7.82651e-05, 8.07877e-07, 2.90544e-10, 3.1405e-12, 2.79754e-10, 6.94014e-11, 7.13885e-08, 0.333556, 0.162111, 1173, 1173, 0.0578913, 0.0811777, 5.15446e-18, 0.0634991, 0.395792, 0.401632, 8.14303e-06, 0.262295, 0.00174298, 1.00104e-09, 0.00206962, 2.43772e-05, 0.399937, 7.93874e-05, 7.98839e-07, 2.91156e-10, 3.14526e-12, 2.7992e-10, 6.97227e-11, 7.29723e-08, 0.333851, 0.16006, 1173, 1173, 0.0580787, 0.0824701, 5.59689e-18, 0.0671912, 0.38503, 0.407222, 8.32724e-06, 0.259206, 0.00182016, 1.00623e-09, 0.00210249, 2.58618e-05, 0.402264, 8.17676e-05, 7.80165e-07, 2.92307e-10, 3.1584e-12, 2.80503e-10, 7.04675e-11, 7.63566e-08, 0.334499, 0.137118, 1173, 1173, 0.0585069, 0.0846399, 6.40589e-18, 0.0730931, 0.36779, 0.415961, 8.61711e-06, 0.254132, 0.0019525, 1.01681e-09, 0.00215432, 2.84695e-05, 0.406091, 8.57254e-05, 7.51117e-07, 2.94115e-10, 3.18938e-12, 2.82119e-10, 7.18864e-11, 8.21548e-08, 0.335555, 0.0206708, 0.088187, 1173, 
0.00894737, 1.00013e+06, 1.00013e+06, 1.00013e+06, 1.0001e+06, 0.162921, 1173, 1173, 0.0523, 0.0852321, 4.80142e-18, 0.0644441, 0.403159, 0.394857, 8.13769e-06, 0.261576, 0.00166227, 8.93596e-10, 0.00201049, 2.44095e-05, 0.404767, 7.64123e-05, 8.5864e-07, 3.04856e-10, 2.93875e-12, 2.52163e-10, 6.26585e-11, 7.37449e-08, 0.329882, 0.161878, 1173, 1173, 0.0523208, 0.0859363, 5.00107e-18, 0.0663241, 0.39778, 0.397631, 8.2314e-06, 0.260046, 0.00169803, 8.94711e-10, 0.00202634, 2.51406e-05, 0.405963, 7.75335e-05, 8.48946e-07, 3.05577e-10, 2.93894e-12, 2.52027e-10, 6.28834e-11, 7.54452e-08, 0.330163, 0.159751, 1173, 1173, 0.0524061, 0.0873748, 5.44373e-18, 0.0703133, 0.386663, 0.403234, 8.42375e-06, 0.256871, 0.00177481, 8.97862e-10, 0.00205878, 2.67172e-05, 0.408401, 7.9899e-05, 8.28939e-07, 3.06898e-10, 2.94238e-12, 2.5199e-10, 6.34225e-11, 7.90482e-08, 0.330787, 0.135903, 1173, 1173, 0.0526644, 0.0897412, 6.2355e-18, 0.0766276, 0.369054, 0.411904, 8.72391e-06, 0.251725, 0.00190533, 9.05044e-10, 0.00210947, 2.94561e-05, 0.412337, 8.37974e-05, 7.97952e-07, 3.08885e-10, 2.95698e-12, 2.52592e-10, 6.4487e-11, 8.51465e-08, 0.331809, 0.0206708, 0.100924, 1173, 
0.01, 1.00012e+06, 1.00012e+06, 1.00012e+06, 1.00009e+06, 0.162413, 1173, 1173, 0.0474374, 0.089595, 4.72831e-18, 0.067299, 0.403495, 0.392165, 8.23651e-06, 0.259287, 0.00163447, 8.03083e-10, 0.00197848, 2.52296e-05, 0.410137, 7.51649e-05, 9.01182e-07, 3.17653e-10, 2.76745e-12, 2.28399e-10, 5.69409e-11, 7.62535e-08, 0.326861, 0.161347, 1173, 1173, 0.0474185, 0.0903554, 4.93015e-18, 0.0693138, 0.397956, 0.394948, 8.33415e-06, 0.257722, 0.00167041, 8.03451e-10, 0.00199423, 2.60033e-05, 0.411368, 7.62887e-05, 8.90801e-07, 3.18415e-10, 2.7638e-12, 2.28032e-10, 5.70882e-11, 7.80504e-08, 0.327142, 0.159171, 1173, 1173, 0.0474136, 0.0919012, 5.374e-18, 0.0735712, 0.386569, 0.400537, 8.53384e-06, 0.25449, 0.00174725, 8.04891e-10, 0.00202628, 2.76647e-05, 0.413866, 7.86483e-05, 8.69485e-07, 3.19801e-10, 2.75885e-12, 2.27481e-10, 5.74528e-11, 8.18408e-08, 0.327763, 0.130025, 1173, 1173, 0.0475049, 0.0944195, 6.15502e-18, 0.0802809, 0.368671, 0.409115, 8.84342e-06, 0.249294, 0.00187709, 8.08911e-10, 0.00207602, 3.05323e-05, 0.417861, 8.25123e-05, 8.3665e-07, 3.21846e-10, 2.7588e-12, 2.27161e-10, 5.81997e-11, 8.82107e-08, 0.328777, 0.0206708, 0.113642, 1173, 
